customer_tweet_id,customer_text,support_tweet_id,support_text,intent,retrieval_prediction,retrieval_similarity,matched_customer_text,matched_intent
2063899,@115858 battery issue is serious with ios11. Please fix asap #iphone,,"@158474 We're here for you! Reply by DM, and let us know the model of iPhone you have. We'll take it from there. https://t.co/GDrqU22YpT",ios_update,battery_charging,0.37137662188101334,@115858 can we please fix the battery issue with #iOS11.,battery_charging
483246,Yo @115948 stop randomly removing songs I downloaded it’s annoying and it’s pissing me off. 🙄 @AppleSupport,,@229945 We'd love to help. Can you provide us with the device and software version you're using? We'll do everything that we can to getting your music playing as it should.,music_media,other_support,0.3856811035166532,@596344 @115858 Girl it’s pissing me off,other_support
2547236,@AppleSupport Any news about the solution of this #iPhoneX #bug ?? #appleitalia #AppleNews https://t.co/rF111i4Z2O,,@523794 We'd like to look into this with you. Please click here to connect with us in DM. We'll pick up there: https://t.co/GDrqU22YpT,device_issue,other_support,0.5352167799176799,@AppleSupport Any news,other_support
1508064,"@AppleSupport You can support me in English, if you want!",,@414843 We will do our best.  Please tell us about your issue.,other_support,other_support,0.3378975932171147,@AppleSupport I can ask you in English too,other_support
2852349,"Could a iPhone works worst? I cannot even call!!! With a 7!

@AppleSupport https://t.co/u7X2gRuBJU",,@793032 We'd like to help. Let us know which version of iOS you're running via DM to get started. https://t.co/GDrqU22YpT,device_issue,device_issue,0.2895503578439035,@AppleSupport My iPhone works on iOS 11.1,device_issue
1698634,I have the update yet I still can’t see other people’s emojis and I have the iPhone 7 🤬 wtf @115858,,@469324 We'd like to help! Join us in DM with more details about what you see in place of emojis. https://t.co/GDrqU22YpT,device_issue,other_support,0.3399849515006767,I still can’t see I 😐😐😐 wtf @AppleSupport,other_support
2728301,Hey @AppleSupport is it normal for the blue text to overlap like this? https://t.co/1hHJapCt1z,,@764998 We can help out. Has the Watch been restarted? If not let's do so with these steps: https://t.co/gZrStAoDfj,device_issue,other_support,0.38429960733318197,@AppleSupport is it normal for the 6s to have problems with the home button?,other_support
1281105,@AppleSupport Nono. Even after multiple restart it won’t connect... 😰 https://t.co/ueATaLDJu8,,@419755 Let's check this out. Have you tried different internet connections?,connectivity,connectivity,0.5927221263272153,@AppleSupport upgraded iPhone 7 to iOS 11.0.3 sometimes I am unable to connect to App Store .. even after multiple restart it won’t connect,connectivity
2015844,@115858 @AppleSupport WHY ARE THE I’S NOT I’S,,@596107 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,device_issue,other_support,0.47484525066874433,Why are the i’s not working!!?? @115858 I’m tired of this!! I️ can’t text like this.,other_support
792769,@AppleSupport I can’t seem to change my push notifications for my emails. The option to do this is no longer their in settings? 🤔,,"@159401 We'd love to help. You can change mail notifications under Settings 
&gt; Notifications. More info is here: https://t.co/E7sMv2aXe6",device_issue,device_issue,0.32859160180931735,@AppleSupport Thanks! How do I get push notifications for updates?,device_issue
2296270,@115858 wtf is going on I type “I” and it auto corrects to I️ like wtfffff 😤,,"@666694 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",device_issue,other_support,0.5324199180195142,@AppleSupport why when I️ type “I” it auto corrects to I️ ?!,other_support
1716653,@115858 my apple music wont work on imac. Wtf?,,@519838 We want you to be able to listen to your music on your iMac. What exactly happens when you try to play it?,music_media,other_support,0.39310300732413883,🗣MY AIRPOD WONT WORK. HELPPPPPPPPPPPP @AppleSupport,other_support
2016721,Less than two years 😩 @115858 #appleproblems 💔 https://t.co/DRrvM3YG6Q,,"@596395 We're happy to do everything we can to help. To start, please DM us with the country where you're located. https://t.co/GDrqU22YpT",other_support,device_issue,0.426922975159602,"@AppleSupport 
Hello, 
my iphone 5C less than two years old explosed in the classoom, what triggered the fire alarm.
what do you propose? https://t.co/2qqPtOZLWe",device_issue
412733,Yeah so the entire back of my phone doesn't work.  @AppleSupport This ain't right.  My phone is in perfect condition. 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️,,@213509 Thanks for reaching out. Can you clarify what you mean so that we have a better understanding? Thank you.,device_issue,other_support,0.29858345895331306,@AppleSupport this ain’t funny https://t.co/30Qm161qIu,other_support
2280341,@AppleSupport @AppleSupport in the control centre too! https://t.co/5uLu2PnZC7,,@662905 We want to make sure things are working smoothly for you. Send us a DM and let us know what version of iOS you are running and we'll go from there. https://t.co/GDrqU22YpT,device_issue,other_support,0.44619182109491706,@AppleSupport Control centre,other_support
1470716,@AppleSupport hola . Realice la última actualización de mi iPhone y se puso muy lento incluso me cuesta escribir mensajes . Some help pls?,,@461369 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,device_issue,ios_update,0.4300332780690583,Soy yo o la última actualización de iOS afectó la velocidad del AppStore? 😕 @AppleSupport,ios_update
2003617,@AppleSupport you roll out a new iPhone and all of a sudden my charger isn’t supported #bullshit,,"@592499 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT",battery_charging,device_issue,0.33898932550098715,All of a sudden my phone was freezing hmmmmmm @AppleSupport 🤔,device_issue
